Czas;L1_MocCzynna;L1_MocBierna;L1_MocPozorna;L1_CosPhi;L1_Czestotliwosc;L1_Napiecie;L1_Prad;L2_MocCzynna;L2_MocBierna;L2_MocPozorna;L2_CosPhi;L2_Czestotliwosc;L2_Napiecie;L2_Prad;L3_MocCzynna;L3_MocBierna;L3_MocPozorna;L3_CosPhi;L3_Czestotliwosc;L3_Napiecie;L3_Prad
25.09.2026 10:49;12.5;-6;21.62;0.58;50.17;233.42;0.09;0;0;0;1;50.17;231;0;16.23;14.25;22.09;0.73;50.15;231.56;0.09
25.09.2026 10:49;12.5;-6;21.56;0.58;50.15;233.42;0.09;0;0;0;1;50.2;231;0;16.35;14.3;22.11;0.73;50.15;231.56;0.09
25.09.2026 10:49;12.5;-6.01;21.42;0.58;50.15;233.42;0.09;0;0;0;1;50.2;231;0;16.35;14.3;22.1;0.74;50.17;231.56;0.09
25.09.2026 10:49;12.5;-6.01;21.45;0.58;50.2;233.42;0.09;0;0;0;1;50.2;231;0;16.35;14.3;22.02;0.74;50.17;231.56;0.09
25.09.2026 10:50;12.5;-6.01;21.44;0.58;50.2;233.37;0.09;0;0;0;1;50.03;232;0;16.48;14.29;22.14;0.74;50.03;232.61;0.1
25.09.2026 10:50;12.5;-6.01;21.47;0.58;50;234.42;0.09;0;0;0;1;50.05;232;0;16.35;14.3;22.11;0.73;50.03;232.56;0.09
25.09.2026 10:50;12.5;-6.03;21.52;0.58;50;234.42;0.09;0;0;0;1;50.05;232;0;16.48;14.29;22.22;0.74;50.03;232.56;0.09
25.09.2026 10:50;12.5;-6;21.59;0.58;50;234.42;0.09;0;0;0;1;50.08;232;0;16.43;14.41;22.24;0.73;50.03;232.61;0.1
25.09.2026 10:50;12.5;-6.03;21.62;0.57;50;234.42;0.09;0;0;0;1;50.05;232;0;16.48;14.29;22.13;0.74;50.03;232.56;0.09
25.09.2026 10:50;12.38;-6.01;21.48;0.58;50.15;233.42;0.09;0;0;0;1;50.17;231;0;16.35;14.3;22.12;0.73;50;232.56;0.09
25.09.2026 10:50;12.5;-6.01;21.46;0.58;50.15;233.42;0.09;0;0;0;1;50.23;231;0;16.35;14.3;22.08;0.73;50.2;231.56;0.09
